38581.850442	5353.646351	15844.791434
39512.032829	4403.011941	13670.260082
-19372.208720	19891.320541	-31649.498138
-20439.433593	19945.779779	-30961.681471
-21490.109268	20139.178354	-30140.146887
-22506.297778	20468.277399	-29188.618484
-23470.651940	20927.521511	-28111.371277
-24368.023477	21507.651729	-26913.210033
-25180.540775	22201.736954	-25599.444740
-25895.616132	22996.584370	-24175.866679
-26501.049262	23878.728014	-22648.720241
-26989.714886	24829.745755	-21024.674904
-27347.043646	25840.408084	-19310.792981
-27570.008657	26890.204602	-17514.501031
-27655.168996	27961.018787	-15643.555886
-27600.282875	29035.540704	-13706.008782
-27406.604263	30095.277763	-11710.174559
-27077.363174	31122.391829	-9664.594042
-26618.079716	32099.619843	-7577.998697
-26037.019048	33010.130661	-5459.275033
-25342.866796	33839.553239	-3317.425233
-24547.825960	34573.590165	-1161.534580
-23665.256997	35200.021495	999.268147
-22709.353929	35708.867020	3155.845915
-21697.415367	36090.932487	5299.093128
-20645.800735	36340.415782	7419.967168
-19572.466735	36453.177498	9509.526858
-18494.768844	36427.918725	11558.968987
-17431.072105	36265.152003	13559.660111
-16399.171570	35967.900409	15503.172460
-15416.310475	35541.464279	17381.316663
-14498.286498	34993.580307	19186.173749
-13661.598991	34333.278719	20910.127709
-12919.540640	33572.266693	22545.893803
-12284.405648	32723.687142	24086.548910
-11763.720067	31803.253285	25525.558737
-11371.954716	30824.598047	26856.805334
-11112.414636	29805.675991	28074.610524
-10985.243593	28765.487675	29173.760374
-11000.263710	27718.888103	30149.527363
-11152.810521	26685.350396	30997.689787
-11439.974958	25682.592089	31714.550814
-11856.558492	24727.799404	32296.954948
-12393.324725	23838.288528	32742.302783
-13044.528762	23027.457910	33048.563522
-13796.869335	22310.111358	33214.285784
-14637.224683	21698.534895	33238.605945
-15551.602785	21202.734371	33121.254609
-16522.851852	20832.079076	32862.559621
-17534.758543	20592.458639	32463.448956
-18575.790100	20482.481235	31925.449385
-19615.961940	20514.499761	31250.681936
-20643.290468	20682.737753	30441.858223
-21639.961898	20984.217935	29502.270711
-22588.692283	21413.653803	28435.782140
-23467.058399	21969.912733	27246.812599
-24271.475129	22630.857747	25940.321419
-24982.166244	23391.083157	24521.791636
-25586.798755	24237.311283	22997.207001
-26072.704947	25157.009361	21373.029383
-26435.685048	26129.657737	19656.170814
-26667.353019	27140.446410	17853.968081
-26767.679590	28167.893879	15974.150520
-26727.224697	29201.471071	14024.806637
-26550.564565	30219.268990	12014.351372
-26240.831562	31203.392251	9951.487984
-25796.374924	32142.221341	7845.170609
-25238.935355	33007.749267	5704.563190
-24571.418229	33790.481185	3539.000343
-23805.574850	34476.541503	1357.943686
-22954.890759	35053.726185	-829.060936
-22031.680646	35513.375328	-3012.426853
-21057.485313	35843.855526	-5182.572608
-20046.848490	36040.864516	-7329.963798
-19018.515733	36100.219138	-9445.158845
-17988.841133	36021.594333	-11518.854707
-16976.934795	35805.590033	-13541.927197
-16000.702214	35455.712061	-15505.476078
-15079.805670	34976.785836	-17400.865557
-14225.853187	34378.996043	-19219.767092
-13456.424893	33671.442833	-20954.194527
-12785.234133	32866.231309	-22596.543817
-12224.285742	31977.177192	-24139.627502
-11782.265335	31020.096798	-25576.706745
-11470.008943	30010.401646	-26901.525823
-11291.827102	28966.045549	-28108.334538
-11245.661099	27907.250301	-29191.917335
-11343.696091	26847.930163	-30147.616004
-11578.854829	25808.589663	-30971.348210
-11947.358556	24807.177028	-31659.625365
-12443.108923	23860.988369	-32209.566340
-13050.563217	22990.474999	-32618.908266
-13774.057202	22202.760048	-32886.014837
-14593.818261	21515.368091	-33009.880368
-15495.911432	20940.180467	-32990.132082
-16464.974964	20487.145571	-32827.028728
